wf,setup,frozen_class,n,share,target_hit_rate,mean_win_R,mean_loss_R,gross_expectancy_R
WF2,CLEAR85_REV,TRADEOFF_OR_OVERLAP,115,0.1586,0.0261,0.5837,-1.0,-0.9587
WF2,CLEAR85_REV,UNRESOLVED_CENSOR,35,0.0483,0.7143,0.7932,-1.0,0.2809
WF2,CLEAR85_REV,NO_COMPARABLE_TARGET,5,0.0069,0.4,0.4258,-1.0,-0.4297
WF2,CLEAR90_CONT,LONG_DOMINATES,181,0.4219,0.6796,0.8788,-1.0074,0.2744
WF2,CLEAR90_CONT,SHORT_DOMINATES,182,0.4242,0.6593,0.7369,-1.0567,0.1259
WF2,CLEAR90_CONT,TRADEOFF_OR_OVERLAP,48,0.1119,0.0,,-1.0003,-1.0003
WF2,CLEAR90_CONT,UNRESOLVED_CENSOR,16,0.0373,0.625,0.7688,-1.0,0.1055
WF2,CLEAR90_CONT,NO_COMPARABLE_TARGET,2,0.0047,1.0,0.3226,,0.3226
WF2,CLEAR90_REV,LONG_DOMINATES,206,0.4145,0.6796,0.5569,-1.0,0.0581
WF2,CLEAR90_REV,SHORT_DOMINATES,207,0.4165,0.8309,0.5407,-1.0878,0.2653
WF2,CLEAR90_REV,TRADEOFF_OR_OVERLAP,52,0.1046,0.0577,0.5837,-1.0,-0.9086
WF2,CLEAR90_REV,UNRESOLVED_CENSOR,27,0.0543,0.6667,0.5549,-1.0,0.0366
WF2,CLEAR90_REV,NO_COMPARABLE_TARGET,5,0.0101,0.4,0.4258,-1.0,-0.4297
WF3,CLEAR85_CONT,LONG_DOMINATES,271,0.3196,0.5351,1.0073,-1.0722,0.0405
WF3,CLEAR85_CONT,SHORT_DOMINATES,369,0.4351,0.7669,0.7509,-1.1024,0.3189
WF3,CLEAR85_CONT,TRADEOFF_OR_OVERLAP,152,0.1792,0.0,,-1.0518,-1.0518
WF3,CLEAR85_CONT,UNRESOLVED_CENSOR,56,0.066,0.5357,0.7938,-0.9807,-0.0126
WF3,CLEAR85_CONT,NO_COMPARABLE_TARGET,0,0.0,,,,
WF3,CLEAR85_REV,LONG_DOMINATES,190,0.3322,0.5316,0.6506,-1.0,-0.1226
WF3,CLEAR85_REV,SHORT_DOMINATES,251,0.4388,0.8606,0.6591,-1.0387,0.4223
WF3,CLEAR85_REV,TRADEOFF_OR_OVERLAP,84,0.1469,0.0119,0.3846,-1.0288,-1.012
WF3,CLEAR85_REV,UNRESOLVED_CENSOR,44,0.0769,0.6364,0.6914,-1.2546,-0.0162
WF3,CLEAR85_REV,NO_COMPARABLE_TARGET,3,0.0052,1.0,0.3972,,0.3972
WF3,CLEAR90_CONT,LONG_DOMINATES,171,0.3497,0.5205,0.9791,-1.0322,0.0146
WF3,CLEAR90_CONT,SHORT_DOMINATES,222,0.454,0.7297,0.6806,-1.1447,0.1873
WF3,CLEAR90_CONT,TRADEOFF_OR_OVERLAP,68,0.1391,0.0,,-1.0,-1.0
WF3,CLEAR90_CONT,UNRESOLVED_CENSOR,28,0.0573,0.5714,0.81,-0.9561,0.0872
WF3,CLEAR90_CONT,NO_COMPARABLE_TARGET,0,0.0,,,,
WF3,CLEAR90_REV,LONG_DOMINATES,135,0.3453,0.4593,0.5019,-1.0,-0.3102
WF3,CLEAR90_REV,SHORT_DOMINATES,189,0.4834,0.9048,0.5525,-1.0752,0.3975
WF3,CLEAR90_REV,TRADEOFF_OR_OVERLAP,37,0.0946,0.027,0.3846,-1.0101,-0.9724
WF3,CLEAR90_REV,UNRESOLVED_CENSOR,27,0.0691,0.7407,0.5663,-1.0,0.1602
WF3,CLEAR90_REV,NO_COMPARABLE_TARGET,3,0.0077,1.0,0.3972,,0.3972
