horizon,approx_minutes,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_coverage_error,interval_score,baseline_interval_score,interval_score_skill,positive_interval_skill_fold_share,q50_spearman,q50_sign_accuracy,q50_decile_monotonicity,q50_top_minus_bottom_realized_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range,q10_pinball_skill,q50_pinball_skill,q90_pinball_skill,mean_pinball_skill,tail_pinball_skill
8,120,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8022222222222222,0.0022222222222221255,0.04759226403063887,0.048232145169491314,0.013266694578975446,0.6,0.029357405347570746,0.5137777777777778,0.6727272727272726,0.0009171359260083,0.8909090909090909,0.9757575757575757,0.008906888426020916,0.021318100409627783,-0.008074117691162952,0.00491469085256202,0.006052891190342284,0.013116395631094901
8,120,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8204444444444444,0.020444444444444376,0.04889458855169725,0.048232145169491314,-0.01373447894299673,0.4,0.007177913800794708,0.5115555555555555,0.19999999999999998,-0.0014033301279692,0.4424242424242424,0.6121212121212121,0.0031063667780926,-0.006104700650333861,-0.008195561600057077,-0.021649113737510106,-0.011983125329300348,-0.013876907193921983
8,120,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8066666666666666,0.006666666666666599,0.04775029290682563,0.048232145169491314,0.009990272275313905,0.8,0.04586798398295744,0.5128888888888888,0.5393939393939393,0.0024987246663188997,0.7939393939393938,0.9151515151515152,0.0082417332039142,0.016935904685096648,-0.009160407576298546,0.002785325836276553,0.003520274315024885,0.0098606152606866
8,120,F3_VOL,linear_qr,2250,0.0008888888888888889,0.9991111111111111,0.8131672597864769,0.013167259786476815,0.04943241558363613,0.04824558745046237,-0.024599723951799213,0.2,0.03245209776356777,0.5182222222222223,0.33333333333333326,0.0012679407833782002,0.24848484848484845,0.709090909090909,0.0036960232556470986,-0.021885686925795955,-0.01099284856906646,-0.026514885761771856,-0.019797807085544756,-0.024200286343783906
8,120,F4_TAIL,gbr_quantile,2250,0.0,1.0,0.8022222222222222,0.0022222222222221255,0.04797885315746936,0.048232145169491314,0.005251518694262214,0.6,0.009593498198738462,0.5044444444444445,0.19999999999999998,-0.0005612449782628001,0.8424242424242423,0.9878787878787878,0.008195291565340003,0.0072204841713688905,-0.017810168072921462,0.0032090422189907652,-0.0024602138941872687,0.005214763195179828
8,120,F4_TAIL,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8104138851802403,0.010413885180240223,0.04948746132806035,0.04825231756443319,-0.025597604964317622,0.2,0.009520550253863702,0.5044444444444445,0.34545454545454546,0.0021474013723733,0.32121212121212117,0.22424242424242422,0.003807198012082,-0.02454444925999355,-0.01673090728817339,-0.026373704474607296,-0.022549687007591412,-0.025459076867300423
16,240,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8226666666666667,0.022666666666666613,0.06779883022977114,0.06708733141252803,-0.01060556147133096,0.4,0.07102756661914486,0.504,0.406060606060606,0.006082061590524599,0.6606060606060605,0.8424242424242423,0.0020605933963292015,0.0070784481094893215,-0.007847329388463553,-0.029218587862612777,-0.00999582304719567,-0.011070069876561728
16,240,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8426666666666667,0.04266666666666663,0.06801276009378508,0.06708733141252803,-0.01379438802784505,0.2,0.07429288648009438,0.5271111111111111,0.6848484848484848,0.006088146260544099,0.6727272727272726,0.8666666666666665,0.004010791465073899,0.0026800232838194438,0.003582784566426578,-0.031134270768997663,-0.00829048763958388,-0.01422712374258911
16,240,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8222222222222222,0.022222222222222143,0.06729778323384165,0.06708733141252803,-0.0031369830470604487,0.6,0.037456291717033144,0.49644444444444447,0.2727272727272727,0.00414260119049,0.8060606060606059,0.9151515151515152,0.0068877413564414,0.012289005711847989,-0.014162543236510894,-0.0193733651056065,-0.007082300876756468,-0.003542179696879255
16,240,F2_ACTIVITY,linear_qr,2250,0.00044444444444444447,0.9995555555555555,0.840373499333037,0.04037349933303691,0.06772803244388736,0.06707925646055762,-0.009671782568299925,0.4,0.06426152496721574,0.516,0.6727272727272726,0.0070590371788399,0.5636363636363636,0.8424242424242423,0.0040320189801080035,0.000380240655468822,0.0015167809571151603,-0.0217677346525047,-0.006623571013306906,-0.010693746998517939
16,240,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8155555555555556,0.015555555555555545,0.06717033553463883,0.06708733141252803,-0.001237254789587583,0.4,0.01244414678017782,0.5,0.35757575757575755,0.0025790384030911,0.9030303030303028,0.9030303030303028,0.005152149251532501,0.022510839638223534,-0.016901675383179438,-0.02623293839331753,-0.006874591379424477,-0.0018610493775469972
16,240,F3_VOL,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8384512683578104,0.03845126835781032,0.0676489639524153,0.06709453153881838,-0.008263451594056503,0.2,0.059813174301437504,0.5182222222222223,0.6242424242424242,0.0068670778477444,0.709090909090909,0.8545454545454544,0.0066415438520941,0.0001852191850266749,-0.0014947597253638367,-0.02303032785466219,-0.008113289464999784,-0.011422554334817758
16,240,F4_TAIL,gbr_quantile,2250,0.0,1.0,0.8151111111111111,0.015111111111111075,0.0681945197051995,0.06708733141252803,-0.016503686603112078,0.0,-0.0014108126074138328,0.48977777777777776,0.2606060606060606,-0.0019569184533677004,0.6,0.8085143730944858,0.004521084133398398,-0.0005789937810505297,-0.03273669636000287,-0.033264971786511,-0.0221935539758548,-0.016921982783780765
16,240,F4_TAIL,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.822429906542056,0.02242990654205601,0.06860584402865476,0.06709453153881838,-0.02252512172265475,0.2,0.03770516045652909,0.5173333333333333,0.7333333333333332,0.006174160591131199,0.709090909090909,0.8303030303030302,0.006077359465083601,-0.007361366528904956,-0.008090485983727191,-0.042900640274729174,-0.01945083092912044,-0.025131003401817065
