date,symbol,underlying_symbol,instrument,previous_underlying,is_roll
2026-03-19,KQ.m@SHFE.cu,SHFE.cu2605,CU,SHFE.cu2604,True
2026-04-17,KQ.m@SHFE.cu,SHFE.cu2606,CU,SHFE.cu2605,True
2026-05-22,KQ.m@SHFE.cu,SHFE.cu2607,CU,SHFE.cu2606,True
2026-06-24,KQ.m@SHFE.cu,SHFE.cu2608,CU,SHFE.cu2607,True
2026-07-20,KQ.m@SHFE.cu,SHFE.cu2609,CU,SHFE.cu2608,True
2026-08-25,KQ.m@SHFE.cu,SHFE.cu2610,CU,SHFE.cu2609,True
2025-08-11,KQ.m@DCE.i,DCE.i2601,I,DCE.i2509,True
2025-12-09,KQ.m@DCE.i,DCE.i2605,I,DCE.i2601,True
2026-04-09,KQ.m@DCE.i,DCE.i2609,I,DCE.i2605,True
2026-08-13,KQ.m@DCE.i,DCE.i2701,I,DCE.i2609,True
2025-08-11,KQ.m@DCE.m,DCE.m2601,M,DCE.m2509,True
2025-12-04,KQ.m@DCE.m,DCE.m2605,M,DCE.m2601,True
2026-04-09,KQ.m@DCE.m,DCE.m2609,M,DCE.m2605,True
2026-08-11,KQ.m@DCE.m,DCE.m2701,M,DCE.m2609,True
2025-06-17,KQ.m@INE.sc,INE.sc2508,SC,INE.sc2507,True
2025-07-18,KQ.m@INE.sc,INE.sc2509,SC,INE.sc2508,True
2025-08-15,KQ.m@INE.sc,INE.sc2510,SC,INE.sc2509,True
2025-09-17,KQ.m@INE.sc,INE.sc2511,SC,INE.sc2510,True
2025-10-20,KQ.m@INE.sc,INE.sc2512,SC,INE.sc2511,True
2025-11-17,KQ.m@INE.sc,INE.sc2601,SC,INE.sc2512,True
2025-12-17,KQ.m@INE.sc,INE.sc2602,SC,INE.sc2601,True
2026-01-16,KQ.m@INE.sc,INE.sc2603,SC,INE.sc2602,True
2026-02-06,KQ.m@INE.sc,INE.sc2604,SC,INE.sc2603,True
2026-03-17,KQ.m@INE.sc,INE.sc2605,SC,INE.sc2604,True
2026-04-16,KQ.m@INE.sc,INE.sc2606,SC,INE.sc2605,True
2026-05-18,KQ.m@INE.sc,INE.sc2607,SC,INE.sc2606,True
2026-06-16,KQ.m@INE.sc,INE.sc2608,SC,INE.sc2607,True
2026-07-16,KQ.m@INE.sc,INE.sc2609,SC,INE.sc2608,True
2026-08-18,KQ.m@INE.sc,INE.sc2610,SC,INE.sc2609,True
2025-05-28,KQ.m@SHFE.sn,SHFE.sn2507,SN,SHFE.sn2506,True
2025-06-27,KQ.m@SHFE.sn,SHFE.sn2508,SN,SHFE.sn2507,True
2025-07-28,KQ.m@SHFE.sn,SHFE.sn2509,SN,SHFE.sn2508,True
2025-08-27,KQ.m@SHFE.sn,SHFE.sn2510,SN,SHFE.sn2509,True
2025-09-26,KQ.m@SHFE.sn,SHFE.sn2511,SN,SHFE.sn2510,True
2025-10-24,KQ.m@SHFE.sn,SHFE.sn2512,SN,SHFE.sn2511,True
2025-11-25,KQ.m@SHFE.sn,SHFE.sn2601,SN,SHFE.sn2512,True
2025-12-23,KQ.m@SHFE.sn,SHFE.sn2602,SN,SHFE.sn2601,True
2026-01-22,KQ.m@SHFE.sn,SHFE.sn2603,SN,SHFE.sn2602,True
2026-02-27,KQ.m@SHFE.sn,SHFE.sn2604,SN,SHFE.sn2603,True
2026-03-27,KQ.m@SHFE.sn,SHFE.sn2605,SN,SHFE.sn2604,True
2026-04-27,KQ.m@SHFE.sn,SHFE.sn2606,SN,SHFE.sn2605,True
2026-05-28,KQ.m@SHFE.sn,SHFE.sn2607,SN,SHFE.sn2606,True
2026-06-26,KQ.m@SHFE.sn,SHFE.sn2608,SN,SHFE.sn2607,True
2026-07-28,KQ.m@SHFE.sn,SHFE.sn2609,SN,SHFE.sn2608,True
2026-08-26,KQ.m@SHFE.sn,SHFE.sn2610,SN,SHFE.sn2609,True
