candidate_id,symbol,trading_day,touch_time,reward_observation_end_time,split
RB:5m:1:-1:84:87:2,RB,2025-01-06,2025-01-06 09:20:00,2025-01-06 10:35:00,TRAIN
RB:15m:1:1:40:44:1,RB,2025-01-06,2025-01-06 09:45:00,2025-01-06 11:00:00,TRAIN
RB:5m:1:-1:141:145:1,RB,2025-01-06,2025-01-06 10:10:00,2025-01-06 11:25:00,TRAIN
RB:15m:1:1:40:44:2,RB,2025-01-06,2025-01-06 10:35:00,2025-01-06 13:35:00,TRAIN
AG:15m:1:1:83:89:1,AG,2025-01-07,2025-01-06 22:05:00,2025-01-06 22:25:00,TRAIN
AG:15m:1:1:83:89:2,AG,2025-01-07,2025-01-06 22:20:00,2025-01-06 23:05:00,TRAIN
AG:5m:1:1:259:267:1,AG,2025-01-07,2025-01-06 22:25:00,2025-01-06 23:10:00,TRAIN
AG:5m:1:1:298:307:1,AG,2025-01-07,2025-01-07 01:30:00,2025-01-07 02:20:00,TRAIN
AG:5m:1:1:298:307:2,AG,2025-01-07,2025-01-07 01:45:00,2025-01-07 09:05:00,TRAIN
AG:5m:1:1:298:307:3,AG,2025-01-07,2025-01-07 02:30:00,2025-01-07 09:35:00,TRAIN
AG:5m:1:-1:331:333:1,AG,2025-01-07,2025-01-07 09:25:00,2025-01-07 10:40:00,TRAIN
CU:5m:1:-1:244:246:1,CU,2025-01-07,2025-01-06 23:05:00,2025-01-07 00:05:00,TRAIN
CU:5m:1:-1:244:246:2,CU,2025-01-07,2025-01-07 00:30:00,2025-01-07 09:05:00,TRAIN
CU:5m:1:-1:288:294:1,CU,2025-01-07,2025-01-07 13:50:00,2025-01-07 14:50:00,TRAIN
CU:5m:1:-1:288:294:2,CU,2025-01-07,2025-01-07 14:30:00,2025-01-07 21:05:00,TRAIN
M:5m:1:-1:150:159:2,M,2025-01-07,2025-01-06 21:05:00,2025-01-06 22:05:00,TRAIN
M:5m:1:-1:150:159:3,M,2025-01-07,2025-01-06 22:55:00,2025-01-07 09:05:00,TRAIN
M:5m:1:1:138:139:1,M,2025-01-07,2025-01-07 09:05:00,2025-01-07 09:30:00,TRAIN
M:5m:1:-1:222:232:1,M,2025-01-07,2025-01-07 14:25:00,2025-01-07 21:05:00,TRAIN
RB:5m:1:-1:141:145:2,RB,2025-01-07,2025-01-06 21:05:00,2025-01-06 22:05:00,TRAIN
RB:5m:1:-1:152:162:1,RB,2025-01-07,2025-01-06 21:05:00,2025-01-06 22:05:00,TRAIN
RB:5m:1:1:178:183:1,RB,2025-01-07,2025-01-06 22:20:00,2025-01-07 09:05:00,TRAIN
RB:5m:1:-1:213:222:1,RB,2025-01-07,2025-01-07 13:35:00,2025-01-07 14:05:00,TRAIN
AG:5m:1:1:416:421:1,AG,2025-01-08,2025-01-08 00:55:00,2025-01-08 01:55:00,TRAIN
AG:5m:1:-1:396:401:1,AG,2025-01-08,2025-01-08 09:45:00,2025-01-08 10:35:00,TRAIN
AG:5m:1:1:448:451:1,AG,2025-01-08,2025-01-08 10:15:00,2025-01-08 10:35:00,TRAIN
AG:15m:1:1:145:150:1,AG,2025-01-08,2025-01-08 10:15:00,2025-01-08 10:35:00,TRAIN
AG:5m:1:-1:452:459:1,AG,2025-01-08,2025-01-08 14:50:00,2025-01-08 21:35:00,TRAIN
CU:5m:1:-1:244:246:3,CU,2025-01-08,2025-01-07 21:15:00,2025-01-07 22:15:00,TRAIN
CU:15m:1:-1:86:98:1,CU,2025-01-08,2025-01-07 21:15:00,2025-01-07 22:15:00,TRAIN
CU:5m:1:-1:244:246:4,CU,2025-01-08,2025-01-07 21:30:00,2025-01-07 22:30:00,TRAIN
CU:15m:1:-1:86:98:2,CU,2025-01-08,2025-01-07 21:30:00,2025-01-07 22:30:00,TRAIN
CU:5m:1:-1:345:348:1,CU,2025-01-08,2025-01-07 23:15:00,2025-01-08 00:15:00,TRAIN
CU:5m:1:-1:345:348:2,CU,2025-01-08,2025-01-07 23:25:00,2025-01-08 00:25:00,TRAIN
CU:5m:1:1:311:322:1,CU,2025-01-08,2025-01-08 11:30:00,2025-01-08 14:00:00,TRAIN
CU:15m:1:-1:126:132:1,CU,2025-01-08,2025-01-08 14:15:00,2025-01-08 14:45:00,TRAIN
CU:15m:1:-1:126:132:2,CU,2025-01-08,2025-01-08 14:35:00,2025-01-08 21:05:00,TRAIN
CU:5m:1:-1:380:397:1,CU,2025-01-08,2025-01-08 14:45:00,2025-01-08 21:05:00,TRAIN
CU:15m:1:-1:126:132:3,CU,2025-01-08,2025-01-08 14:45:00,2025-01-08 21:05:00,TRAIN
CU:5m:1:-1:380:397:2,CU,2025-01-08,2025-01-08 15:00:00,2025-01-08 21:20:00,TRAIN
M:5m:1:-1:222:232:2,M,2025-01-08,2025-01-07 21:55:00,2025-01-07 22:55:00,TRAIN
M:5m:1:-1:222:232:3,M,2025-01-08,2025-01-07 22:35:00,2025-01-08 09:05:00,TRAIN
M:5m:1:-1:222:232:4,M,2025-01-08,2025-01-07 22:45:00,2025-01-08 09:45:00,TRAIN
M:5m:1:1:264:275:1,M,2025-01-08,2025-01-08 09:35:00,2025-01-08 10:50:00,TRAIN
M:15m:1:1:84:92:1,M,2025-01-08,2025-01-08 10:05:00,2025-01-08 11:15:00,TRAIN
M:15m:1:1:84:92:2,M,2025-01-08,2025-01-08 11:00:00,2025-01-08 13:40:00,TRAIN
M:5m:1:-1:294:299:1,M,2025-01-08,2025-01-08 13:35:00,2025-01-08 14:35:00,TRAIN
M:5m:1:-1:276:289:1,M,2025-01-08,2025-01-08 13:45:00,2025-01-08 14:40:00,TRAIN
M:5m:1:-1:276:289:2,M,2025-01-08,2025-01-08 14:10:00,2025-01-08 14:40:00,TRAIN
M:5m:1:1:300:305:1,M,2025-01-08,2025-01-08 14:40:00,2025-01-08 21:05:00,TRAIN
M:15m:1:1:84:92:3,M,2025-01-08,2025-01-08 14:40:00,2025-01-08 21:05:00,TRAIN
AG:5m:1:1:472:485:1,AG,2025-01-09,2025-01-08 21:05:00,2025-01-08 21:20:00,TRAIN
AG:5m:1:-1:452:459:2,AG,2025-01-09,2025-01-08 21:20:00,2025-01-08 21:35:00,TRAIN
AG:5m:1:1:354:360:1,AG,2025-01-09,2025-01-08 21:35:00,2025-01-08 22:00:00,TRAIN
AG:15m:1:1:118:120:1,AG,2025-01-09,2025-01-08 21:35:00,2025-01-08 22:00:00,TRAIN
AG:5m:1:-1:396:401:2,AG,2025-01-09,2025-01-08 22:05:00,2025-01-08 23:05:00,TRAIN
AG:5m:1:1:526:535:1,AG,2025-01-09,2025-01-09 01:25:00,2025-01-09 01:30:00,TRAIN
AG:1h:1:1:49:52:1,AG,2025-01-09,2025-01-09 01:30:00,2025-01-09 01:40:00,TRAIN
AG:15m:1:1:165:167:1,AG,2025-01-09,2025-01-09 01:35:00,2025-01-09 01:45:00,TRAIN
AG:5m:1:1:497:501:1,AG,2025-01-09,2025-01-09 01:40:00,2025-01-09 02:05:00,TRAIN
AG:5m:1:1:354:360:2,AG,2025-01-09,2025-01-09 01:45:00,2025-01-09 02:30:00,TRAIN
AG:15m:1:1:118:120:2,AG,2025-01-09,2025-01-09 01:45:00,2025-01-09 02:30:00,TRAIN
AG:15m:1:1:165:167:2,AG,2025-01-09,2025-01-09 09:35:00,2025-01-09 10:50:00,TRAIN
AG:15m:1:1:165:167:3,AG,2025-01-09,2025-01-09 09:50:00,2025-01-09 11:05:00,TRAIN
AG:15m:1:1:165:167:4,AG,2025-01-09,2025-01-09 10:00:00,2025-01-09 11:05:00,TRAIN
AG:15m:1:-1:178:180:1,AG,2025-01-09,2025-01-09 14:15:00,2025-01-09 21:05:00,TRAIN
AG:5m:1:1:579:590:1,AG,2025-01-09,2025-01-09 14:25:00,2025-01-09 21:05:00,TRAIN
AG:5m:1:1:579:590:2,AG,2025-01-09,2025-01-09 14:45:00,2025-01-09 21:05:00,TRAIN
AG:15m:1:-1:178:180:2,AG,2025-01-09,2025-01-09 15:00:00,2025-01-09 21:25:00,TRAIN
CU:15m:1:-1:126:132:4,CU,2025-01-09,2025-01-08 21:55:00,2025-01-08 22:15:00,TRAIN
CU:5m:1:-1:380:397:3,CU,2025-01-09,2025-01-08 22:05:00,2025-01-08 22:35:00,TRAIN
CU:5m:1:-1:244:246:5,CU,2025-01-09,2025-01-08 22:15:00,2025-01-08 23:15:00,TRAIN
CU:5m:1:-1:267:270:1,CU,2025-01-09,2025-01-08 22:15:00,2025-01-08 23:15:00,TRAIN
CU:15m:1:-1:86:98:3,CU,2025-01-09,2025-01-08 22:15:00,2025-01-08 23:15:00,TRAIN
RB:5m:1:-1:337:353:1,RB,2025-01-09,2025-01-09 14:15:00,2025-01-09 21:05:00,TRAIN
RB:15m:1:-1:112:117:1,RB,2025-01-09,2025-01-09 14:15:00,2025-01-09 21:05:00,TRAIN
AG:1h:1:1:53:60:1,AG,2025-01-10,2025-01-09 22:30:00,2025-01-09 23:30:00,TRAIN
AG:1h:1:1:53:60:2,AG,2025-01-10,2025-01-10 00:10:00,2025-01-10 00:45:00,TRAIN
AG:1h:1:1:53:60:3,AG,2025-01-10,2025-01-10 00:40:00,2025-01-10 01:05:00,TRAIN
AG:1h:1:1:53:60:4,AG,2025-01-10,2025-01-10 01:00:00,2025-01-10 01:10:00,TRAIN
AG:5m:1:1:579:590:3,AG,2025-01-10,2025-01-10 01:10:00,2025-01-10 02:10:00,TRAIN
AG:5m:1:1:593:600:1,AG,2025-01-10,2025-01-10 01:10:00,2025-01-10 02:10:00,TRAIN
AG:1h:1:1:49:52:2,AG,2025-01-10,2025-01-10 01:10:00,2025-01-10 02:10:00,TRAIN
AG:5m:1:-1:640:648:1,AG,2025-01-10,2025-01-10 02:20:00,2025-01-10 09:50:00,TRAIN
AG:15m:1:-1:206:216:1,AG,2025-01-10,2025-01-10 02:20:00,2025-01-10 09:50:00,TRAIN
AG:5m:1:1:683:691:1,AG,2025-01-10,2025-01-10 14:35:00,2025-01-10 21:05:00,TRAIN
CU:5m:1:1:556:558:1,CU,2025-01-10,2025-01-10 10:05:00,2025-01-10 10:35:00,TRAIN
CU:15m:1:1:181:187:1,CU,2025-01-10,2025-01-10 10:05:00,2025-01-10 10:35:00,TRAIN
M:15m:1:-1:114:124:1,M,2025-01-10,2025-01-09 21:25:00,2025-01-09 22:25:00,TRAIN
M:5m:1:-1:369:373:1,M,2025-01-10,2025-01-09 21:30:00,2025-01-09 22:30:00,TRAIN
M:15m:1:-1:114:124:2,M,2025-01-10,2025-01-09 22:00:00,2025-01-09 23:00:00,TRAIN
M:15m:1:-1:114:124:3,M,2025-01-10,2025-01-09 22:35:00,2025-01-10 09:05:00,TRAIN
M:5m:1:-1:369:373:2,M,2025-01-10,2025-01-10 09:05:00,2025-01-10 09:25:00,TRAIN
M:15m:1:-1:114:124:4,M,2025-01-10,2025-01-10 09:05:00,2025-01-10 09:25:00,TRAIN
M:15m:1:-1:101:106:1,M,2025-01-10,2025-01-10 09:30:00,2025-01-10 10:15:00,TRAIN
M:1h:1:-1:28:33:1,M,2025-01-10,2025-01-10 09:30:00,2025-01-10 10:15:00,TRAIN
M:15m:1:-1:101:106:2,M,2025-01-10,2025-01-10 09:45:00,2025-01-10 11:00:00,TRAIN
M:1h:1:-1:28:33:2,M,2025-01-10,2025-01-10 10:15:00,2025-01-10 11:30:00,TRAIN
M:5m:1:-1:305:320:1,M,2025-01-10,2025-01-10 10:50:00,2025-01-10 13:50:00,TRAIN
M:5m:1:1:421:429:1,M,2025-01-10,2025-01-10 11:10:00,2025-01-10 13:35:00,TRAIN
M:1h:1:-1:28:33:3,M,2025-01-10,2025-01-10 13:35:00,2025-01-10 14:35:00,TRAIN
M:5m:1:1:421:429:2,M,2025-01-10,2025-01-10 14:25:00,2025-01-10 15:00:00,TRAIN
M:1h:1:-1:28:33:4,M,2025-01-10,2025-01-10 14:40:00,2025-01-10 21:05:00,TRAIN
M:1h:1:-1:28:33:5,M,2025-01-10,2025-01-10 14:50:00,2025-01-10 21:05:00,TRAIN
M:5m:1:-1:305:320:2,M,2025-01-10,2025-01-10 15:00:00,2025-01-10 21:05:00,TRAIN
RB:5m:1:1:379:380:1,RB,2025-01-10,2025-01-09 21:30:00,2025-01-09 22:30:00,TRAIN
RB:15m:1:1:119:128:1,RB,2025-01-10,2025-01-09 22:00:00,2025-01-09 23:00:00,TRAIN
RB:5m:1:-1:385:402:1,RB,2025-01-10,2025-01-10 09:20:00,2025-01-10 10:35:00,TRAIN
RB:5m:1:-1:385:402:2,RB,2025-01-10,2025-01-10 10:50:00,2025-01-10 13:50:00,TRAIN
RB:5m:1:-1:385:402:3,RB,2025-01-10,2025-01-10 14:15:00,2025-01-10 21:05:00,TRAIN
AG:5m:1:1:649:666:1,AG,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
AG:15m:1:1:216:231:1,AG,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
AG:1h:1:1:53:60:5,AG,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
AG:5m:1:1:649:666:2,AG,2025-01-13,2025-01-10 21:30:00,2025-01-10 21:35:00,TRAIN
AG:5m:1:1:334:340:1,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:5m:1:1:354:360:3,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:5m:0:1:546:600:1,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:15m:1:1:118:120:3,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:15m:1:1:165:167:5,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:15m:1:1:182:200:1,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:15m:0:1:165:200:1,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:1h:1:1:49:52:3,AG,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:45:00,TRAIN
AG:15m:1:1:216:231:2,AG,2025-01-13,2025-01-10 21:45:00,2025-01-10 22:05:00,TRAIN
AG:1h:1:1:71:72:1,AG,2025-01-13,2025-01-10 23:05:00,2025-01-11 00:05:00,TRAIN
AG:1h:1:1:71:72:2,AG,2025-01-13,2025-01-10 23:55:00,2025-01-11 00:55:00,TRAIN
AG:15m:1:1:238:241:1,AG,2025-01-13,2025-01-13 09:05:00,2025-01-13 09:55:00,TRAIN
AG:15m:1:-1:257:259:1,AG,2025-01-13,2025-01-13 10:00:00,2025-01-13 11:15:00,TRAIN
AG:5m:1:-1:771:777:1,AG,2025-01-13,2025-01-13 10:10:00,2025-01-13 11:25:00,TRAIN
AG:15m:1:-1:257:259:2,AG,2025-01-13,2025-01-13 10:10:00,2025-01-13 11:25:00,TRAIN
AG:5m:1:-1:771:777:2,AG,2025-01-13,2025-01-13 11:00:00,2025-01-13 11:30:00,TRAIN
AG:15m:1:-1:257:259:3,AG,2025-01-13,2025-01-13 11:00:00,2025-01-13 11:30:00,TRAIN
AG:15m:1:-1:263:268:1,AG,2025-01-13,2025-01-13 14:50:00,2025-01-13 21:05:00,TRAIN
CU:5m:1:1:570:582:1,CU,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
CU:5m:1:1:499:510:1,CU,2025-01-13,2025-01-10 21:35:00,2025-01-10 21:50:00,TRAIN
CU:15m:1:1:181:187:3,CU,2025-01-13,2025-01-10 21:45:00,2025-01-10 22:05:00,TRAIN
CU:5m:1:-1:603:609:1,CU,2025-01-13,2025-01-10 21:50:00,2025-01-10 22:20:00,TRAIN
CU:5m:1:1:624:641:1,CU,2025-01-13,2025-01-13 09:05:00,2025-01-13 09:45:00,TRAIN
CU:15m:1:1:208:213:1,CU,2025-01-13,2025-01-13 09:05:00,2025-01-13 09:45:00,TRAIN
CU:15m:1:1:208:213:2,CU,2025-01-13,2025-01-13 09:25:00,2025-01-13 10:05:00,TRAIN
CU:15m:1:1:217:221:1,CU,2025-01-13,2025-01-13 13:35:00,2025-01-13 14:35:00,TRAIN
CU:15m:1:1:217:221:2,CU,2025-01-13,2025-01-13 13:50:00,2025-01-13 14:50:00,TRAIN
CU:15m:1:1:217:221:3,CU,2025-01-13,2025-01-13 14:15:00,2025-01-13 14:50:00,TRAIN
M:5m:1:-1:276:289:3,M,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
M:5m:0:-1:276:322:1,M,2025-01-13,2025-01-10 21:05:00,2025-01-10 21:35:00,TRAIN
M:5m:1:1:421:429:3,M,2025-01-13,2025-01-10 21:10:00,2025-01-10 22:10:00,TRAIN
M:1h:1:-1:28:33:6,M,2025-01-13,2025-01-10 21:15:00,2025-01-10 22:15:00,TRAIN
M:5m:1:1:421:429:4,M,2025-01-13,2025-01-10 21:35:00,2025-01-10 22:30:00,TRAIN
M:1h:1:-1:28:33:7,M,2025-01-13,2025-01-10 22:00:00,2025-01-10 22:40:00,TRAIN
M:5m:1:-1:276:289:4,M,2025-01-13,2025-01-10 22:40:00,2025-01-13 09:05:00,TRAIN
M:5m:0:-1:276:322:2,M,2025-01-13,2025-01-10 22:40:00,2025-01-13 09:05:00,TRAIN
M:5m:1:-1:276:289:5,M,2025-01-13,2025-01-10 22:55:00,2025-01-13 09:05:00,TRAIN
M:5m:0:-1:276:322:3,M,2025-01-13,2025-01-10 22:55:00,2025-01-13 09:05:00,TRAIN
M:5m:1:-1:45:54:2,M,2025-01-13,2025-01-13 09:05:00,2025-01-13 10:05:00,TRAIN
M:5m:1:-1:76:80:1,M,2025-01-13,2025-01-13 09:05:00,2025-01-13 10:05:00,TRAIN
M:15m:1:-1:4:9:3,M,2025-01-13,2025-01-13 09:05:00,2025-01-13 10:05:00,TRAIN
M:15m:1:-1:23:32:1,M,2025-01-13,2025-01-13 09:05:00,2025-01-13 10:05:00,TRAIN
M:1h:1:-1:15:23:2,M,2025-01-13,2025-01-13 09:25:00,2025-01-13 10:40:00,TRAIN
M:15m:1:-1:23:32:2,M,2025-01-13,2025-01-13 09:40:00,2025-01-13 10:55:00,TRAIN
M:5m:1:-1:45:54:3,M,2025-01-13,2025-01-13 09:45:00,2025-01-13 10:55:00,TRAIN
M:5m:1:-1:45:54:4,M,2025-01-13,2025-01-13 10:00:00,2025-01-13 10:55:00,TRAIN
M:15m:1:-1:4:9:4,M,2025-01-13,2025-01-13 10:00:00,2025-01-13 10:55:00,TRAIN
M:5m:1:-1:5:9:4,M,2025-01-13,2025-01-13 10:50:00,2025-01-13 13:50:00,TRAIN
M:5m:1:-1:14:27:2,M,2025-01-13,2025-01-13 10:50:00,2025-01-13 13:50:00,TRAIN
RB:5m:1:-1:309:315:1,RB,2025-01-13,2025-01-10 21:05:00,2025-01-10 22:05:00,TRAIN
RB:5m:1:-1:385:402:4,RB,2025-01-13,2025-01-10 21:05:00,2025-01-10 22:05:00,TRAIN
RB:5m:1:-1:309:315:2,RB,2025-01-13,2025-01-10 22:10:00,2025-01-10 22:20:00,TRAIN
RB:15m:1:-1:88:95:1,RB,2025-01-13,2025-01-10 22:40:00,2025-01-13 09:05:00,TRAIN
RB:15m:1:-1:88:95:2,RB,2025-01-13,2025-01-13 09:05:00,2025-01-13 09:40:00,TRAIN
RB:5m:1:-1:270:276:1,RB,2025-01-13,2025-01-13 09:35:00,2025-01-13 10:50:00,TRAIN
RB:15m:1:-1:88:95:3,RB,2025-01-13,2025-01-13 09:35:00,2025-01-13 10:50:00,TRAIN
RB:5m:0:-1:237:285:1,RB,2025-01-13,2025-01-13 09:40:00,2025-01-13 10:55:00,TRAIN
RB:5m:0:-1:237:285:2,RB,2025-01-13,2025-01-13 13:35:00,2025-01-13 14:30:00,TRAIN
RB:5m:0:-1:237:285:3,RB,2025-01-13,2025-01-13 13:55:00,2025-01-13 14:55:00,TRAIN
RB:5m:1:1:484:490:1,RB,2025-01-13,2025-01-13 14:30:00,2025-01-13 21:30:00,TRAIN
RB:5m:0:-1:237:285:4,RB,2025-01-13,2025-01-13 14:50:00,2025-01-13 21:50:00,TRAIN
RB:5m:1:-1:503:507:1,RB,2025-01-13,2025-01-13 14:55:00,2025-01-13 21:55:00,TRAIN
AG:15m:1:1:83:89:3,AG,2025-01-14,2025-01-13 21:05:00,2025-01-13 21:35:00,TRAIN
AG:5m:1:1:836:843:1,AG,2025-01-14,2025-01-13 23:30:00,2025-01-14 00:30:00,TRAIN
AG:5m:1:1:836:843:2,AG,2025-01-14,2025-01-14 00:00:00,2025-01-14 01:00:00,TRAIN
AG:5m:1:-1:854:857:1,AG,2025-01-14,2025-01-14 01:20:00,2025-01-14 02:20:00,TRAIN
AG:5m:1:1:836:843:3,AG,2025-01-14,2025-01-14 01:35:00,2025-01-14 02:30:00,TRAIN
AG:5m:1:1:870:873:1,AG,2025-01-14,2025-01-14 01:55:00,2025-01-14 02:30:00,TRAIN
AG:5m:1:-1:854:857:2,AG,2025-01-14,2025-01-14 02:05:00,2025-01-14 02:30:00,TRAIN
AG:5m:1:1:836:843:4,AG,2025-01-14,2025-01-14 02:10:00,2025-01-14 02:30:00,TRAIN
